Gene	SJMMALZ058765_G1	SJMMALZ058766_G1	SJMMALZ058768_G1	SJMMALZ058769_G1	SJMMALZ058771_G1	SJMMALZ058772_G1	SJMMALZ058773_G1	SJMMALZ058774_G1	SJMMALZ058775_G1	SJMMALZ058776_G1	SJMMALZ058778_G1	SJMMALZ058779_G1	SJMMALZ058780_G1	SJMMALZ058781_G1	SJMMALZ058782_G1
ENSMUSG00000044744	34	45	47	64	36	47	53	27	61	45	45	36	28	8	27
ENSMUSG00000044743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090420	150	157	218	258	132	158	166	193	260	262	66	225	198	149	102
ENSMUSG00000044748	14	14	17	2	11	29	14	26	116	34	49	108	31	64	56
ENSMUSG00000030954	2	9	12	13	7	5	20	7	0	18	3	55	13	26	5
ENSMUSG00000090422	31	34	51	77	31	49	21	17	40	28	9	33	50	46	12
ENSMUSG00000090421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035349	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000030956	10865	11759	7610	13298	6647	6658	8444	10353	7277	11042	6315	12048	11067	10052	7105
ENSMUSG00000044749	171	152	228	222	113	181	186	231	294	355	140	270	127	342	137
ENSMUSG00000046899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001323	8948	10263	11487	9401	6352	8743	6940	7740	9124	11367	6078	9107	7462	7830	4799
ENSMUSG00000044757	740	964	1006	855	565	667	629	713	834	1015	526	957	736	781	462
ENSMUSG00000065061	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065064	1	3	0	3	1	1	0	3	0	0	1	2	0	1	0
ENSMUSG00000042616	7177	8363	9953	8551	5256	6942	5868	6246	7125	8861	5918	7830	6366	6309	4756
ENSMUSG00000065063	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
ENSMUSG00000042613	10218	8940	10766	14447	5371	7798	8247	9196	17225	18583	6227	19584	11606	15985	5419
ENSMUSG00000065068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035373	7	10	20	17	1	6	0	1	1	11	10	16	16	2	2
ENSMUSG00000035372	3744	4416	4547	5153	2582	3493	3317	3241	3141	5055	2575	3573	3179	3480	2491
ENSMUSG00000035371	2	1	4	4	6	1	6	17	5	10	8	11	8	6	2
ENSMUSG00000035370	472	435	516	641	263	356	447	461	488	639	374	568	384	513	209
ENSMUSG00000044751	344	429	524	462	289	338	273	354	386	418	277	410	411	346	250
ENSMUSG00000035376	5794	5620	7189	6493	3216	4877	4248	5624	6583	8677	3683	7919	5720	6736	3288
ENSMUSG00000046897	13955	14165	17311	16441	9638	11559	12620	13038	14520	20046	9071	17301	12320	15445	8585
ENSMUSG00000035378	499	651	484	616	345	472	370	395	522	552	276	466	410	454	224
ENSMUSG00000042628	8367	10056	10046	9923	5686	7540	7077	7310	7945	11044	5629	9926	7898	8734	5800
ENSMUSG00000044768	12432	12397	17760	11782	9372	13247	9457	15436	13144	17447	7928	14927	10302	12593	8731
ENSMUSG00000065072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001334	14693	10314	15529	10648	9270	11243	9621	15973	10134	16036	7052	12760	12677	11419	8167
ENSMUSG00000065071	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000001333	188	260	289	245	131	243	97	150	138	282	149	222	163	175	132
ENSMUSG00000065070	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0
ENSMUSG00000042625	18137	18989	20893	27021	11780	14717	17332	15441	18326	24146	12131	21966	17295	19109	11662
ENSMUSG00000042626	2903	2595	3435	3620	1819	2179	2237	2493	2938	4302	1753	3995	2877	3490	1894
ENSMUSG00000065074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042622	199	530	231	463	75	132	196	192	253	708	143	359	264	454	97
ENSMUSG00000065079	1	5	2	2	1	0	4	2	7	3	0	0	1	0	1
ENSMUSG00000065078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035364	16	30	28	29	21	11	38	44	22	50	24	41	18	30	19
ENSMUSG00000044763	1630	2053	2260	2011	1155	1535	1468	1571	1650	2411	1151	1981	1766	1785	1134
ENSMUSG00000035365	17	20	29	41	33	69	27	54	38	116	41	68	29	30	22
ENSMUSG00000035367	2505	2792	3239	2988	1860	2501	2257	2674	3160	4013	1804	3377	2495	2885	1765
ENSMUSG00000065040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065046	10	18	20	28	7	13	5	19	12	26	16	19	16	19	7
ENSMUSG00000065045	2	0	2	0	0	0	0	4	4	1	1	1	1	1	1
ENSMUSG00000042631	448	718	449	550	448	701	728	497	507	868	398	451	434	434	599
ENSMUSG00000065048	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042632	3485	3916	4212	4777	2296	3373	2971	3417	3486	5136	2515	4383	3688	3597	2560
ENSMUSG00000065047	0	2	4	3	4	0	1	2	2	2	0	7	2	0	2
ENSMUSG00000065042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042638	45	58	55	77	35	48	43	8	22	55	21	31	36	25	23
ENSMUSG00000065041	34	59	52	71	22	16	33	32	25	47	25	45	57	45	13
ENSMUSG00000065044	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSMUSG00000035395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035394	7	15	22	13	9	18	39	15	175	35	9	60	19	11	16
ENSMUSG00000035392	11867	12520	14745	17279	8540	10728	10700	9932	11513	16095	9149	12791	11490	11916	7964
ENSMUSG00000065049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035390	48501	47995	55017	64476	31983	40324	41228	39936	35192	59269	33208	43463	38324	37529	30365
ENSMUSG00000044770	325	515	330	641	203	336	211	140	488	552	331	487	189	293	175
ENSMUSG00000035399	1692	1973	2184	2147	1201	1741	1847	1763	2040	2745	1211	2555	1692	2112	1275
ENSMUSG00000001348	61	29	15	33	15	39	18	31	119	48	16	56	18	46	36
ENSMUSG00000001349	216	91	277	125	106	77	41	110	52	125	33	223	152	135	63
ENSMUSG00000044772	4	0	4	2	0	0	30	1	145	6	2	66	4	11	10
ENSMUSG00000035397	8128	10588	8635	13346	4931	7304	6832	5994	7230	10184	6179	9519	6600	6163	5299
ENSMUSG00000065051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044787	143	232	305	317	189	188	199	242	156	316	149	160	258	222	151
ENSMUSG00000044788	5701	4472	5969	5700	4100	5832	5469	6199	6585	8629	3544	8367	6472	7254	4410
ENSMUSG00000042642	4203	4780	5579	5989	3202	4246	4001	4420	4879	6501	3378	5462	4643	4344	2867
ENSMUSG00000065059	21	20	7	19	5	9	13	16	7	16	11	17	6	8	10
ENSMUSG00000042644	1324	1162	1642	1543	743	1126	1092	1116	1014	1851	844	1518	1458	1746	816
